id,unique_id,song_id,path,title,artist,album,genre,lyrics,isrc,playlists,length,amplify,fade_in,fade_out,cue_in,cue_out,cross_start_next
8462,0ecdb061c80e72fceb0985ed,d77e3f3108f3170e76443a4f2c7afe07,liviu_hodor_feat._mona_-_je_taime_(official_video).mp3,"Je t'aime (Official Video)","Liviu Hodor feat. Mona",,,,,default,238.471837,,,,,,
8463,7ad4982588e4191d27667db1,6bd80ced2117aa8d53862123a77ca653,liviu_hodor_feat._mona_-_sweet_love_(official_music_video).mp3,"Sweet Love (Official Music Video)","Liviu Hodor feat. Mona",,,,,default,224.182857,,,,,,
8464,a2dd65728e1c66d80829b076,69308ce1db9472ecd6d9c714c5dbc366,lloyd_banks_-_on_fire_(official_video).mp3,"On Fire (Official Video)","Lloyd Banks",,,,,default,244.27102,,,,,,
8465,b880a1a2964672fba7fc1fc7,06f7eba5eaa088cb86c284158f20c847,lmfao_-_sexy_and_i_know_it_(official_video).mp3,"Sexy and I Know It (Official Video)",LMFAO,,,,,default,203.781224,,,,,,
8466,fe05be08c037509d5170ac38,99af6a15b21fa6875719edce3b56d82a,"lmfao_ft._lauren_bennett,_goonrock_-_party_rock_anthem_(official_video).mp3","Party Rock Anthem (Official Video)","LMFAO ft. Lauren Bennett, GoonRock",,,,,default,375.588571,,,,,,
8467,08d6a2c851e185cbf94f38f5,105c97b4027b4231c0217fee591217e1,look_at_us_now_baby-lyrics.mp3,"Look At Us Now Baby-lyrics",,,,,,default,201.926531,,,,,,
8468,be0933a0046e91eed1ed23d0,20da17af50c9b3e9d0ac257df44edf2c,londonbeat_-_ive_been_thinking_about_you_(video).mp3,"I've Been Thinking About You (Video)",Londonbeat,,,,,default,227.683265,,,,,,
8469,9cd2fbbaf1578a300f56affb,21ba453afd9ea19d4cd014a33521534c,lmfao_-_sorry_for_party_rocking.mp3,"Sorry For Party Rocking",LMFAO,,,,,default,439.066122,,,,,,
8470,b848b07750dc33e3dccac223,96c44711edb9228332f4ba71c40b6075,loreen_-_euphoria_-_live_-_grand_final_-_2012_eurovision_song_contest.mp3,"Euphoria - Live - Grand Final - 2012 Eurovision Song Contest",Loreen,,,,,default,192.888163,,,,,,
8471,d164be142d984ad205f3c900,479d1c35e5309aa01115fb3591629cd7,loreen_-_euphoria_(sweden)_2012_eurovision_song_contest_official_preview_video.mp3,"Euphoria (Sweden) 2012 Eurovision Song Contest Official Preview Video",Loreen,,,,,default,209.240816,,,,,,
8472,0a4a5244514aa31960ddc677,7e9fca332f920bf05bed5b90cb77a86a,loreen_my_heart_is_refusing_me_(debut_single_2011).mp3,"LOREEN 'My Heart Is Refusing Me' (Debut single 2011)",,,,,,default,187.898776,,,,,,
8473,ab9a81bc9ac4c4c6768036c5,c8c859b00400f29c88e315583f734e4c,lost_frequencies_ft._james_blunt_-_melody_(official_music_video).mp3,"Melody (Official Music Video)","Lost Frequencies ft. James Blunt",,,,,default,145.81551,,,,,,
